channel_id	program_original_title	program_local_title	program_release_year	start_date	start_time	duration
1636306181	Girls	Girls	2016	20161102	07:00:00 PM	1800
1724516231	WarGames	WarGames	1983	20161104	07:45:00 PM	6600
1724516231	Napoleon Dynamite	Napoleon Dynamite	2004	20161105	12:40:00 AM	5400
1636306181	Divorce	Divorce	2013	20161107	03:00:00 AM	1800
1636306181	Prime Series-programma	Prime Series-programma		20161107	03:30:00 AM	9000
1636306181	Togetherness	Togetherness	2016	20161107	06:00:00 AM	1800
1636306181	Mr. Robot	Mr. Robot	2016	20161107	06:30:00 AM	3900
1636306181	Game of Thrones	Game of Thrones	2016	20161107	07:35:00 AM	3000
1636306181	American Horror Story	American Horror Story		20161107	12:30:00 AM	3600
1636306181	Mad Dogs	Mad Dogs		20161120	12:35:00 AM	3180
69040374	Unfaithful	Infiel	2002	20161106	02:00:00 PM	7500
69040374	The Young Victoria	La reina Victoria	2009	20161106	04:05:00 PM	6600
69040374	Estreno en salas	Estreno en salas		20161106	05:55:00 PM	1200
69040374	Lost in Translation	Lost in Translation	2003	20161106	06:15:00 PM	6300
69040374	Pool Fiction	Pool Fiction		20161106	08:00:00 PM	3600
1636306181	Any Given Wednesday With Bill Simmons	Any Given Wednesday With Bill Simmons		20161108	03:30:00 AM	1800
1636306181	The Catch	The Catch	2016	20161108	06:35:00 AM	2700
1636306181	Any Given Wednesday With Bill Simmons	Any Given Wednesday With Bill Simmons		20161108	09:30:00 AM	1800
1636306181	The Catch	The Catch	2016	20161108	12:35:00 PM	2700
1636306181	Any Given Wednesday With Bill Simmons	Any Given Wednesday With Bill Simmons		20161108	03:30:00 PM	1800
1636306181	Chaussée d'Amour	Chaussée d'Amour		20161108	06:30:00 PM	3600
1636306181	Chaussée d'Amour	Chaussée d'Amour		20161108	07:30:00 PM	3600
1636306181	Crimson Peak	Crimson Peak	2015	20161109	04:05:00 AM	6900
1636306181	Last Week Tonight With John Oliver	Last Week Tonight With John Oliver		20161105	07:00:00 AM	1800
1636306181	High Maintenance	High Maintenance		20161105	05:00:00 PM	1800
1636306181	High Maintenance	High Maintenance		20161105	05:30:00 PM	1800
1636306181	Last Week Tonight With John Oliver	Last Week Tonight With John Oliver		20161107	01:30:00 AM	1800
1636306181	The Catch	The Catch	2016	20161107	06:35:00 PM	2700
1636306181	Any Given Wednesday With Bill Simmons	Any Given Wednesday With Bill Simmons		20161107	09:30:00 PM	1800
1636306181	The Catch	The Catch	2016	20161108	12:35:00 AM	2700
1636306181	Chaussée d'Amour	Chaussée d'Amour		20161109	01:30:00 PM	3600
